feature_set,depth,learning_rate,l2_reg,val_dir_acc,val_r2,val_mae,test_dir_acc,test_r2,test_mae
price_finbert,4,0.05,3.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_finbert,4,0.05,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_roberta,2,0.03,10.0,0.5213,-0.0026,0.0312,0.5472,-0.0017,0.0202
price_roberta,2,0.05,1.0,0.5213,-0.0026,0.0312,0.5472,-0.0015,0.0202
price_finbert,3,0.03,5.0,0.5213,-0.0026,0.0312,0.5472,-0.0017,0.0202
price_only,3,0.03,5.0,0.5166,-0.0013,0.0312,0.5472,-0.0116,0.0202
price_only,3,0.03,10.0,0.5166,-0.0023,0.0312,0.5472,-0.0091,0.0202
all_features,6,0.05,1.0,0.5166,-0.0016,0.0312,0.5472,-0.0043,0.0202
all_features,8,0.05,1.0,0.5166,-0.0021,0.0312,0.5472,-0.0017,0.0202
price_vader,6,0.03,1.0,0.5166,-0.0015,0.0312,0.5472,-0.0087,0.0203
all_features,3,0.05,5.0,0.5166,-0.0031,0.0312,0.5472,-0.0038,0.0202
price_vader,4,0.03,1.0,0.5166,0.0033,0.0312,0.5519,-0.0096,0.0203
price_vader,8,0.03,5.0,0.5166,-0.0017,0.0313,0.5472,-0.004,0.0202
price_only,8,0.01,3.0,0.5166,0.0004,0.0312,0.5472,-0.0052,0.0202
price_finbert,6,0.05,1.0,0.5166,-0.003,0.0313,0.5472,-0.0037,0.0202
price_vader,2,0.05,10.0,0.5166,-0.0023,0.0312,0.5142,-0.0175,0.0203
price_vader,3,0.05,10.0,0.5166,-0.0014,0.0312,0.5472,-0.0067,0.0202
price_roberta,4,0.05,3.0,0.5166,0.0002,0.0312,0.5472,-0.0032,0.0202
price_vader,8,0.05,5.0,0.5118,0.0003,0.0312,0.533,0.0008,0.0202
price_roberta,8,0.03,1.0,0.5118,-0.0026,0.0313,0.5377,0.0031,0.0201
price_vader,4,0.03,5.0,0.5118,0.0015,0.0311,0.5472,-0.0054,0.0202
